protein_a,protein_b,interaction_score
NDUFA2,MT-ND2,0.999
NDUFA2,NDUFB10,0.999
NDUFA2,NDUFV3,0.999
NDUFA2,NDUFA12,0.999
NDUFA2,NDUFB8,0.999
NDUFA2,NDUFB11,0.999
NDUFA2,NDUFS6,0.999
NDUFA2,NDUFA9,0.999
NDUFA2,NDUFA5,0.999
NDUFA2,NDUFS4,0.999
NDUFA2,NDUFB3,0.999
NDUFS1,NDUFA5,0.999
NDUFS1,NDUFA6,0.999
NDUFV3,NDUFB3,0.999
NDUFV3,NDUFAB1,0.999
NDUFV3,NDUFS1,0.999
NDUFV3,NDUFC1,0.999
NDUFV3,NDUFA13,0.999
NDUFB8,NDUFA12,0.999
NDUFS1,NDUFA13,0.999
NDUFS1,NDUFAB1,0.999
NDUFS1,NDUFB3,0.999
NDUFS1,NDUFA3,0.999
NDUFS1,NDUFV1,0.999
NDUFA2,NDUFA8,0.999
NDUFA2,NDUFS5,0.999
NDUFA2,NDUFV2,0.999
NDUFA2,NDUFAB1,0.999
NDUFA2,NDUFS1,0.999
NDUFA2,NDUFB5,0.999
NDUFA2,NDUFA13,0.999
NDUFA2,NDUFC2,0.999
NDUFA2,NDUFB2,0.999
NDUFB8,NDUFB6,0.999
NDUFV3,NDUFV1,0.999
NDUFV3,NDUFA3,0.999
NDUFV3,NDUFA8,0.999
NDUFV3,NDUFS5,0.999
NDUFV3,NDUFS2,0.999
NDUFV3,NDUFB6,0.999
NDUFA2,NDUFA6,0.999
NDUFA2,MT-ND5,0.999
NDUFA2,NDUFC1,0.999
NDUFA10,NDUFA12,0.999
NDUFA10,NDUFB2,0.999
NDUFA10,NDUFB5,0.999
NDUFA10,NDUFA13,0.999
NDUFA10,NDUFC2,0.999
NDUFA10,MT-ND4,0.999
NDUFA10,NDUFS1,0.999
NDUFA10,NDUFB3,0.999
NDUFA11,NDUFA13,0.999
NDUFA10,NDUFA8,0.999
NDUFA10,NDUFB9,0.999
NDUFA10,NDUFA3,0.999
NDUFA10,NDUFV1,0.999
NDUFA10,NDUFS3,0.999
NDUFA10,MT-ND2,0.999
NDUFB8,NDUFA11,0.999
NDUFB8,NDUFA7,0.999
NDUFB8,NDUFA5,0.999
NDUFB8,MT-ND5,0.999
NDUFB8,NDUFS8,0.999
NDUFA10,NDUFA7,0.999
NDUFA10,NDUFS4,0.999
NDUFA10,NDUFA11,0.999
NDUFA10,NDUFA1,0.999
NDUFA10,NDUFB11,0.999
NDUFA10,NDUFS6,0.999
NDUFA10,NDUFA6,0.999
NDUFA10,NDUFA9,0.999
RAMP1,CALCR,0.999
RAMP2,CALCR,0.999
NDUFA10,NDUFS8,0.999
NDUFA10,NDUFB6,0.999
NDUFA10,NDUFV3,0.999
NDUFA10,MT-ND3,0.999
NDUFA10,NDUFV2,0.999
NDUFA10,NDUFAB1,0.999
KCNJ11,ABCC8,0.999
HMGB1,TLR4,0.999
NDUFV3,NDUFA5,0.999
NDUFV3,NDUFA6,0.999
NDUFA10,NDUFB10,0.999
NDUFA10,NDUFS5,0.999
NDUFA10,NDUFS2,0.999
JAG1,NOTCH2,0.999
KLB,FGFR4,0.999
NDUFA11,NDUFV1,0.999
NDUFA11,NDUFA3,0.999
NDUFS4,NDUFV2,0.999
NDUFS4,MT-ND3,0.999
NDUFS4,MT-ND4,0.999
NDUFS4,NDUFA8,0.999
NDUFS4,NDUFS2,0.999
NDUFS4,NDUFS5,0.999
NDUFS4,NDUFV3,0.999
NDUFS4,NDUFB6,0.999
NDUFS4,NDUFS8,0.999
NDUFS4,NDUFA11,0.999
NDUFS4,NDUFA1,0.999
NDUFA11,NDUFB3,0.999
NDUFA10,NDUFB8,0.999
NDUFA10,NDUFA5,0.999
MT-ND1,NDUFA1,0.999
MT-ND1,MT-ND2,0.999
NDUFB5,NDUFS3,0.999
DPP4,ADA,0.999
NDUFA11,NDUFS1,0.999
NDUFA11,NDUFAB1,0.999
NDUFA11,NDUFA5,0.999
NDUFA11,NDUFA6,0.999
OASL,DDX58,0.999
MT-ND6,MT-ND4,0.999
MT-ND6,NDUFS5,0.999
NDUFS4,NDUFAB1,0.999
NDUFS4,NDUFS1,0.999
NDUFS6,NDUFB8,0.999
NDUFS6,NDUFA5,0.999
NDUFS6,MT-ND5,0.999
NDUFB10,NDUFV2,0.999
NDUFB10,MT-ND5,0.999
NDUFB10,NDUFA5,0.999
NDUFB10,NDUFA6,0.999
NDUFB10,NDUFS6,0.999
NDUFB10,NDUFB11,0.999
NDUFB10,NDUFB8,0.999
NDUFB10,MT-ND1,0.999
NDUFB10,NDUFA3,0.999
NDUFB10,NDUFA1,0.999
NDUFB10,NDUFAF3,0.999
NDUFB10,NDUFS4,0.999
NDUFB10,NDUFA7,0.999
NDUFS4,MT-ND1,0.999
NDUFS4,NDUFA3,0.999
NDUFS4,NDUFA12,0.999
NDUFS4,MT-ND5,0.999
NDUFS4,NDUFA5,0.999
NDUFS4,NDUFA6,0.999
NDUFB8,NDUFA6,0.999
NDUFS4,NDUFB3,0.999
ARNTL,CRY2,0.999
NDUFB5,NDUFB10,0.999
NDUFB5,NDUFS2,0.999
NDUFB5,NDUFS5,0.999
NDUFB5,NDUFA8,0.999
NDUFB5,NDUFA3,0.999
NDUFB5,NDUFB9,0.999
NDUFB5,NDUFA12,0.999
NDUFB5,NDUFV1,0.999
MT-ND6,MT-ND1,0.999
MT-ND6,MT-ND4L,0.999
MT-ND6,MT-ND5,0.999
MT-ND6,MT-ND3,0.999
MT-ND6,MT-ND2,0.999
NDUFB5,NDUFA13,0.999
NDUFB5,MT-ND4,0.999
NDUFB5,NDUFC1,0.999
NDUFS4,NDUFA7,0.999
NDUFS4,MT-ND2,0.999
NDUFS4,NDUFV1,0.999
NDUFB5,NDUFV3,0.999
NDUFB5,NDUFC2,0.999
NDUFB5,NDUFAB1,0.999
NDUFS4,NDUFA13,0.999
NDUFS4,NDUFB8,0.999
NDUFAF4,NDUFA13,0.999
NDUFB5,MT-ND5,0.999
NDUFB5,NDUFA9,0.999
NDUFAF1,NDUFS1,0.999
TAL1,TCF12,0.999
NDUFA1,NDUFB6,0.999
NDUFA1,NDUFA6,0.999
NDUFA1,NDUFB3,0.999
NDUFB5,MT-ND2,0.999
NDUFB5,NDUFA7,0.999
NDUFB5,NDUFS4,0.999
NDUFB5,NDUFA1,0.999
NDUFB5,NDUFA11,0.999
NDUFB5,NDUFS8,0.999
NDUFB5,NDUFB6,0.999
NDUFB5,NDUFB1,0.999
NDUFA1,NDUFB2,0.999
NDUFA1,NDUFB1,0.999
NDUFA1,NDUFA5,0.999
TANK,TRAF3,0.999
NDUFB5,NDUFS1,0.999
NDUFB5,NDUFV2,0.999
NDUFB5,NDUFB3,0.999
NDUFB5,NDUFB8,0.999
NDUFB5,NDUFB11,0.999
NDUFB5,NDUFA6,0.999
NDUFB5,NDUFS6,0.999
NDUFB5,NDUFA5,0.999
NDUFAF1,NDUFAF3,0.999
NDUFAF1,NDUFB11,0.999
NDUFAF1,NDUFA12,0.999
NDUFAF1,NDUFA13,0.999
NDUFAF1,NDUFS3,0.999
NDUFAF3,NDUFA13,0.999
NDUFAF3,MT-ND6,0.999
NDUFAF3,NDUFAF4,0.999
NDUFAF3,NDUFS2,0.999
NDUFAF3,NDUFA8,0.999
NDUFA1,NDUFA11,0.999
NDUFA1,NDUFAB1,0.999
NDUFA1,NDUFS1,0.999
NDUFA1,NDUFA13,0.999
NDUFA1,NDUFV1,0.999
NDUFA1,NDUFA3,0.999
NDUFA1,NDUFA8,0.999
NDUFA1,NDUFS5,0.999
NDUFB10,NDUFB1,0.999
NDUFB10,NDUFB6,0.999
NDUFB10,NDUFS8,0.999
NDUFB10,NDUFA8,0.999
NDUFB10,MT-ND3,0.999
NDUFB10,MT-ND4,0.999
NDUFB10,NDUFA13,0.999
NDUFB10,NDUFS1,0.999
NDUFB10,NDUFAB1,0.999
NDUFC2,MT-ND4,0.999
NDUFC2,NDUFA12,0.999
NDUFC2,NDUFA6,0.999
NDUFC2,NDUFB8,0.999
NDUFC2,NDUFA5,0.999
MT-ND1,NDUFA8,0.999
MT-ND1,NDUFS2,0.999
MT-ND1,NDUFS5,0.999
MT-ND1,NDUFB3,0.999
MT-ND1,NDUFS1,0.999
MT-ND4,NDUFA8,0.999
MT-ND4,MT-ND2,0.999
MT-ND4,NDUFV1,0.999
MT-ND4,NDUFA1,0.999
MT-ND4,NDUFA11,0.999
MT-ND4,NDUFA5,0.999
MT-ND4,NDUFA6,0.999
MT-ND4,NDUFA13,0.999
MT-ND4,MT-ND3,0.999
MT-ND4,NDUFAB1,0.999
NDUFAF1,NDUFS5,0.999
NDUFV2,NDUFB6,0.999
MT-ND4,NDUFB1,0.999
MT-ND4,NDUFB6,0.999
MT-ND4,NDUFS2,0.999
MT-ND4,NDUFS5,0.999
MT-ND1,NDUFAB1,0.999
MT-ND1,MT-ND3,0.999
MT-ND1,MT-ND4L,0.999
MT-ND1,NDUFV1,0.999
NDUFS5,NDUFA13,0.999
NDUFS5,NDUFB3,0.999
NDUFA8,NDUFA3,0.999
NDUFA8,NDUFV1,0.999
MRAS,SHOC2,0.999
NDUFS5,NDUFS1,0.999
NUP133,NUP160,0.999
INS,IGF1R,0.999
NDUFS5,NDUFAB1,0.999
NDUFV2,NDUFV3,0.999
NDUFV2,NDUFS2,0.999
NDUFV2,NDUFS5,0.999
NDUFV2,NDUFA8,0.999
MT-ND5,NDUFS2,0.999
MT-ND5,NDUFS5,0.999
MT-ND5,NDUFA8,0.999
MT-ND5,NDUFB6,0.999
MT-ND5,NDUFS1,0.999
MT-ND5,NDUFAB1,0.999
MT-ND5,NDUFB3,0.999
MT-ND5,NDUFA13,0.999
MT-ND5,MT-ND3,0.999
MT-ND5,MT-ND4,0.999
NDUFS5,NDUFA8,0.999
NDUFS5,NDUFV1,0.999
NDUFS5,NDUFA3,0.999
NDUFS5,NDUFA11,0.999
NDUFS5,NDUFA6,0.999
NDUFS5,NDUFA5,0.999
NDUFS3,NDUFAF3,0.999
NDUFS3,NDUFS4,0.999
NDUFS3,NDUFA11,0.999
NDUFS3,NDUFA1,0.999
NDUFS3,NDUFB9,0.999
MT-ND5,NDUFA6,0.999
MT-ND5,NDUFA5,0.999
PPP3CA,NFATC1,0.999
NDUFS3,NDUFV1,0.999
NDUFS3,MT-ND1,0.999
NDUFS3,MT-ND2,0.999
ATP4A,ATP4B,0.999
MT-ND5,NDUFA11,0.999
MT-ND5,NDUFV1,0.999
MT-ND5,MT-ND2,0.999
NDUFV2,NDUFA3,0.999
NDUFV2,MT-ND1,0.999
NDUFV2,NDUFV1,0.999
NDUFV2,MT-ND2,0.999
PPARG,NCOR2,0.999
NDUFA8,NDUFA13,0.999
NDUFA8,NDUFB6,0.999
TSEN2,TSEN15,0.999
NDUFS5,NDUFB6,0.999
NDUFS3,MT-ND4,0.999
NDUFS3,NDUFV3,0.999
NDUFS3,NDUFB10,0.999
NDUFS3,NDUFS2,0.999
NDUFS3,NDUFS5,0.999
NDUFS3,NDUFB6,0.999
NDUFS3,NDUFA7,0.999
NDUFS3,NDUFA3,0.999
NDUFS3,MT-ND4L,0.999
NDUFS3,NDUFA12,0.999
NDUFS3,NDUFS6,0.999
NDUFS3,NDUFA6,0.999
NDUFS3,NDUFB11,0.999
NDUFS3,NDUFB8,0.999
NDUFS3,NDUFA9,0.999
NDUFS3,MT-ND5,0.999
NDUFS3,NDUFV2,0.999
NDUFS3,NDUFS1,0.999
NDUFS3,NDUFAB1,0.999
NDUFS3,NDUFB3,0.999
NDUFS3,MT-ND6,0.999
NDUFC2,NDUFS5,0.999
NDUFC2,NDUFA8,0.999
NDUFC2,NDUFS8,0.999
MT-ND1,MT-ND4,0.999
MT-ND1,NDUFA13,0.999
NDUFA9,MT-ND3,0.999
NDUFA9,MT-ND4,0.999
NDUFA9,NDUFA13,0.999
NDUFA9,NDUFC2,0.999
NDUFB10,NDUFB2,0.999
NDUFB10,NDUFA12,0.999
NDUFB10,MT-ND2,0.999
NDUFB10,NDUFV1,0.999
NDUFA9,NDUFV2,0.999
MT-ND4,NDUFB3,0.999
STRN,STK24,0.999
BCL2L11,BCL2,0.999
NDUFS3,NDUFA5,0.999
HDAC4,NCOR2,0.999
NDUFS3,NDUFC2,0.999
NDUFS3,NDUFA13,0.999
NDUFS3,MT-ND3,0.999
NDUFS3,NDUFA8,0.999
NDUFS3,NDUFS8,0.999
NDUFA12,MT-ND3,0.999
NDUFA12,NDUFV3,0.999
NDUFA12,NDUFS5,0.999
NDUFA12,NDUFS2,0.999
NDUFA12,NDUFA8,0.999
NDUFA12,NDUFA5,0.999
NDUFA12,MT-ND5,0.999
NDUFA12,NDUFC1,0.999
NDUFA12,NDUFS1,0.999
NDUFA8,NDUFA6,0.999
NDUFV2,NDUFB3,0.999
NDUFV2,NDUFA13,0.999
NDUFV2,MT-ND3,0.999
NDUFV2,MT-ND4,0.999
NDUFV2,NDUFA12,0.999
NDUFV2,NDUFA6,0.999
NDUFV2,NDUFA5,0.999
NDUFV2,MT-ND5,0.999
NDUFV2,NDUFA1,0.999
NDUFV2,NDUFA11,0.999
MT-ND4,NDUFS1,0.999
NDUFB6,NDUFB3,0.999
NDUFC2,NDUFAB1,0.999
NDUFC2,NDUFB3,0.999
NDUFC2,NDUFA13,0.999
NDUFA8,NDUFB1,0.999
NDUFA8,NDUFA11,0.999
NDUFA12,NDUFB6,0.999
NDUFA12,NDUFA11,0.999
NDUFA12,NDUFA1,0.999
NDUFA12,NDUFA3,0.999
NDUFA12,NDUFV1,0.999
NDUFA12,MT-ND1,0.999
NDUFA12,MT-ND2,0.999
NDUFA12,NDUFA6,0.999
NDUFC2,NDUFS4,0.999
NDUFC2,NDUFV1,0.999
NDUFC2,MT-ND2,0.999
NDUFC2,NDUFS2,0.999
NDUFA8,NDUFA5,0.999
NDUFA8,NDUFAB1,0.999
NDUFA8,NDUFS1,0.999
NDUFA8,NDUFB3,0.999
NDUFC2,NDUFB6,0.999
NDUFC2,NDUFB1,0.999
NDUFC2,NDUFC1,0.999
NDUFC2,NDUFV2,0.999
NDUFA12,NDUFAB1,0.999
NDUFA12,NDUFB3,0.999
NDUFA12,NDUFA13,0.999
NDUFB6,NDUFA13,0.999
NDUFA9,NDUFS2,0.999
NDUFB6,NDUFS1,0.999
NDUFB6,NDUFAB1,0.999
NDUFB6,NDUFA5,0.999
NDUFB6,NDUFA6,0.999
NDUFB6,NDUFV1,0.999
NDUFB6,NDUFA3,0.999
IDE,INS,0.999
NDUFA9,NDUFA11,0.999
NDUFA9,NDUFS4,0.999
NDUFA9,NDUFA7,0.999
NDUFC2,NDUFA7,0.999
MT-ND1,MT-ND5,0.999
MT-ND1,NDUFA5,0.999
MT-ND1,NDUFA6,0.999
BAK1,BCL2,0.999
MT-ND5,NDUFA1,0.999
NDUFA12,NDUFA4,0.999
NDUFA12,MT-ND4,0.999
NDUFA9,MT-ND5,0.999
NDUFA9,NDUFA5,0.999
NDUFA9,NDUFA6,0.999
NDUFA9,NDUFS6,0.999
NDUFB10,NDUFB9,0.999
NDUFB10,NDUFA11,0.999
NDUFA9,NDUFA12,0.999
